Policy:,crop and rice measures,Unit: g CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Bound,Upper Bound,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
850,900,9158777308,6966341261,5090435400,3349055227,1596794067,0,0,0,0,0,0,0,0,0,0,0,503618766,1000075200,1489436676,1971614203,2447326617,1944696685,1448663653,959379388.9,476520397.1,0,0,0,0,0,0,0,0,0,0,0
900,950,19445838960,16475809809,14091200767,11970854705,9569705124,7357686908,6169718289,4587475633,3031873394,1503920213,0,0,0,0,0,0,0,0,0,0,0,496548285.7,986383750.3,1469776324,1946754067,2417720514,2410382559,2403095527,2396245398,2389388814,2383034208,1895013274,1412715823,936278798,465369279.1,0
950,1000,0,1556570065,3033106022,4489908476,5708642172,6797159132,7144634856,7103008876,7061267505,7024813184,6988755005,6921088460,6854959599,6792351746,6731441507,6669771450,5295614287,3943468410,2610268810,1295735615,0,0,0,0,0,0,0,0,0,0,0,480615954.1,955453307.8,1424762139,1888441864,2346817943
1000,1050,0,3483951336,6788768470,10049417617,12777215732,15213559717,12757185621,9485567320,6269033667,3109670234,0,0,0,0,0,0,1287269846,2556232483,3807060122,5039525298,6255465382,4970723037,3702842633,2452212351,1218005324,0,0,0,0,0,0,0,0,0,0,0
1050,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1204289984,2392299209,3564682342,4721507437,5863753201,5785890682,5708914157,5633719709,5559236283,5486627762,4363022740,3252595295,2155660724,1071452519,0
1100,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1249751831,2481730024,3696101771,4892646236,6073147241,6060257870,6047051060,6034574717,6022095832,6010402492,5993838865,5977380527,5961988137,5946559392,5932360182,5768438895,5606129635,5446320162,5287961750,5131797783
1150,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193318547,2372289440,3537533598,4688801281,5826900570
1200,1250,0,0,0,0,0,0,3776149116,7487318434,11133869166,14727484704,18264113551,14591255458,10978782935,7426782652,3929063026,483084402.5,383555671,285621193.3,189058974.2,93848742.81,0,0,0,0,0,0,0,0,0,0,0,83607446.45,166209653.7,247850124.9,328511362.8,408249983.8
1250,1300,0,112447494.2,219113279.6,324353505.7,412395511.2,491030586.7,514108837.3,509112984.6,504143424.1,499584170.5,495084072.9,1589453197,2666209232,3727095023,4772429868,5800819012,4605690055,3429704706,2270197271,1126924340,0,89195897.3,177185958,264018670.2,349699074.2,434299658.1,431795855.5,429316251.7,426929390.4,424555713.8,422285186.2,335805516.7,250340075.8,165913130.9,82465686.82,0
1300,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91829361.76,182352750.8,271582452.1,359502238.9,446243183.1,354594124.5,264147938.2,174932315.7,86888271.21,0,0,0,0,0,0,0,0,0,0,0
1350,1400,17380212242,13219721978,9659897243,6355356037,3030166457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400,1450,0,0,0,0,0,0,1157257048,2294600070,3412139766,4513456685,5597309184,7251390946,8879161364,10484699196,12067241069,13622921701,10816223515,8054483095,5331440199,2646523192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1880344914,3733948065,5561061002,7361351463,9137503341,7260850406,5408828099,3582003445,1779168620,0,0,0,0,0,0,0,0,0,0,0
1500,1550,0,1269624925,2473969589,3662218514,4656285348,5544140186,4648985956,3456739642,2284567328,1133229042,0,0,0,0,0,0,817512014.2,1623397591,2417766095,3200473071,3972685386,5573056060,7151469738,8709486464,10246717658,11764986286,11505688327,11249476484,10998079926,10749356974,10505524026,8354100591,6227908928,4127552754,2051564399,0
1550,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909838113,3796713627,5661620286,7504158395,9325621244
